date,team1,team2,winner,series,code,team1_abrev,team2_abrev,team1_stats,team2_stats,event_code
"March 16, 2024",Sentinels,Karmine Corp,1,Round 2,312798,SEN,KC,"Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
zekken,SEN,64,1.17,289.7,1.28,75.0,185.7,1.00,0.20,0.27,0.17,22.0,40.0,2.0,5.0,27,64,50,13,17,11
Zellsis,SEN,64,0.97,184.3,1.02,70.0,124.0,0.69,0.38,0.06,0.08,18.0,22.0,2.0,9.0,21,44,43,24,4,5
TenZ,SEN,64,0.96,194.3,0.98,73.0,123.1,0.77,0.44,0.09,0.08,25.0,,0.0,5.0,21,49,50,28,6,5
johnqt,SEN,64,0.92,168.7,0.74,66.0,124.1,0.50,0.30,0.03,0.08,19.0,21.0,3.0,14.0,12,32,43,19,2,5
Sacy,SEN,64,0.91,171.0,0.73,69.0,113.7,0.55,0.42,0.02,0.13,28.0,14.0,1.0,7.0,17,35,48,27,1,8
","Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
N4RRATE,KC,44,1.53,300.0,1.68,73.0,205.8,1.07,0.45,0.14,0.11,34.0,29.0,2.0,7.0,27,47,28,20,6,5
MAGNUM,KC,44,1.13,225.0,1.25,73.0,159.7,0.80,0.18,0.02,0.11,24.0,,0.0,1.0,18,35,28,8,1,5
sh1n,KC,44,1.01,208.0,1.16,80.0,132.9,0.82,0.27,0.07,0.07,41.0,,0.0,9.0,21,36,31,12,3,3
marteen,KC,44,0.97,203.0,0.91,77.0,132.0,0.66,0.20,0.09,0.20,19.0,,0.0,2.0,20,29,32,9,4,9
tomaszy,KC,44,0.88,146.5,0.77,64.0,109.0,0.52,0.27,0.07,0.11,42.0,75.0,3.0,4.0,15,23,30,12,3,5
",1921
"March 16, 2024",EDward Gaming,Gen.G,2,Round 2,312797,EDG,GEN,"Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
Smoggy,EDG,65,1.13,215.3,1.20,75.0,147.6,0.82,0.31,0.14,0.06,32.0,20.0,2.0,10.0,19,53,44,20,9,4
Haodong,EDG,65,1.10,174.7,1.02,72.0,117.5,0.65,0.25,0.06,0.08,26.0,57.0,4.0,7.0,19,42,41,16,4,5
CHICHOO,EDG,65,1.08,205.0,1.09,77.0,139.3,0.75,0.31,0.12,0.03,30.0,,0.0,14.0,23,49,45,20,8,2
ZmjjKK,EDG,65,1.06,256.0,1.08,72.0,167.8,0.85,0.40,0.20,0.06,21.0,25.0,1.0,4.0,30,55,51,26,13,4
nobody,EDG,65,1.03,173.3,0.88,66.0,120.0,0.57,0.31,0.09,0.14,34.0,,0.0,3.0,20,37,42,20,6,9
","Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
Karon,GEN,63,1.21,215.7,1.20,71.0,150.7,0.76,0.22,0.11,0.08,32.0,33.0,4.0,12.0,20,48,40,14,7,5
t3xture,GEN,63,1.18,246.7,1.27,68.0,157.9,0.89,0.21,0.17,0.08,23.0,17.0,1.0,6.0,21,56,44,13,11,5
Munchkin,GEN,63,1.08,188.7,1.02,63.0,118.4,0.70,0.41,0.11,0.08,25.0,9.0,1.0,11.0,17,44,43,26,7,5
Meteor,GEN,63,0.91,208.7,0.86,65.0,137.0,0.67,0.21,0.08,0.11,24.0,,0.0,3.0,19,42,49,13,5,7
Lakia,GEN,63,0.63,104.3,0.46,59.0,72.7,0.35,0.25,0.06,0.10,25.0,,0.0,3.0,10,22,48,16,4,6
",1921
"March 17, 2024",FunPlus Phoenix,LOUD,2,Round 2,312800,FPX,LOUD,"Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
Life,FPX,44,1.17,250.0,1.32,73.0,169.4,0.93,0.11,0.14,0.11,37.0,29.0,2.0,7.0,25,41,31,5,6,5
AAAAY,FPX,44,0.93,198.0,0.86,73.0,136.5,0.68,0.39,0.02,0.02,37.0,14.0,1.0,7.0,15,30,35,17,1,1
Autumn,FPX,44,0.90,213.5,0.79,70.0,140.1,0.68,0.20,0.20,0.02,19.0,,0.0,2.0,18,30,38,9,9,1
BerLIN,FPX,44,0.79,168.0,0.74,68.0,106.7,0.57,0.43,0.16,0.14,30.0,13.0,1.0,8.0,14,25,34,19,7,6
Lysoar,FPX,44,0.72,155.5,0.72,61.0,115.4,0.52,0.11,0.09,0.09,32.0,,0.0,6.0,14,23,32,5,4,4
","Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
Less,LOUD,63,1.26,243.0,1.50,83.0,175.1,0.90,0.25,0.11,0.06,31.0,,0.0,12.0,27,57,38,16,7,4
tuyz,LOUD,63,1.21,205.3,1.32,70.0,132.3,0.78,0.32,0.05,0.03,35.0,,0.0,8.0,22,49,37,20,3,2
saadhak,LOUD,63,0.91,178.3,0.84,75.0,126.3,0.57,0.43,0.08,0.16,15.0,17.0,1.0,6.0,18,36,43,27,5,10
Quick,LOUD,63,0.84,209.0,0.96,59.0,133.6,0.73,0.08,0.16,0.19,34.0,,0.0,5.0,18,46,48,5,10,12
cauanzin,LOUD,63,0.77,156.3,0.77,76.0,107.7,0.57,0.29,0.06,0.11,24.0,,0.0,2.0,17,36,47,18,4,7
",1921
"March 17, 2024",Team Heretics,Paper Rex,2,Round 2,312799,TH,PRX,"Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
MiniBoo,TH,64,1.23,270.3,1.41,78.0,167.9,1.02,0.27,0.17,0.11,29.0,29.0,2.0,7.0,25,65,46,17,11,7
RieNs,TH,64,1.21,243.0,1.18,81.0,162.6,0.81,0.36,0.11,0.05,33.0,,0.0,11.0,21,52,44,23,7,3
paTiTek,TH,64,1.04,182.0,0.91,77.0,117.0,0.61,0.53,0.11,0.08,15.0,,,,14,39,43,34,7,5
benjyfishy,TH,64,0.88,176.3,0.87,75.0,106.4,0.61,0.31,0.08,0.14,22.0,14.0,1.0,7.0,15,39,45,20,5,9
Boo,TH,64,0.84,155.3,0.80,73.0,94.9,0.58,0.41,0.06,0.09,33.0,10.0,1.0,10.0,15,37,46,26,4,6
","Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
f0rsakeN,PRX,65,1.15,252.0,1.22,69.0,151.1,0.86,0.40,0.12,0.08,32.0,25.0,2.0,8.0,25,56,46,26,8,5
mindfreak,PRX,65,0.95,197.3,1.07,72.0,130.0,0.74,0.17,0.03,0.14,41.0,,0.0,7.0,21,48,45,11,2,9
d4v41,PRX,65,0.89,182.0,0.85,68.0,128.2,0.63,0.32,0.06,0.08,33.0,9.0,1.0,11.0,17,41,48,21,4,5
something,PRX,65,0.88,175.3,0.83,66.0,115.7,0.58,0.18,0.09,0.15,24.0,30.0,3.0,10.0,17,38,46,12,6,10
Monyet,PRX,65,0.75,175.3,0.75,68.0,109.6,0.60,0.25,0.08,0.18,23.0,33.0,2.0,6.0,17,39,52,16,5,12
",1921
"March 18, 2024",LOUD,EDward Gaming,1,Round 3,312803,LOUD,EDG,"Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
Less,LOUD,105,1.31,238.2,1.55,84.0,170.0,0.89,0.29,0.10,0.06,27.0,,0.0,16.0,27,93,60,30,10,6
tuyz,LOUD,105,1.19,198.0,1.30,75.0,131.6,0.74,0.38,0.05,0.05,32.0,,0.0,14.0,22,78,60,40,5,5
saadhak,LOUD,105,1.10,210.6,1.09,77.0,136.9,0.70,0.44,0.09,0.11,15.0,14.0,1.0,7.0,19,73,67,46,9,12
cauanzin,LOUD,105,0.93,185.4,0.97,75.0,124.2,0.69,0.30,0.07,0.11,24.0,17.0,1.0,6.0,19,72,74,31,7,12
Quick,LOUD,105,0.85,204.0,0.93,59.0,126.1,0.70,0.09,0.17,0.21,34.0,,0.0,6.0,18,74,80,9,18,22
","Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
ZmjjKK,EDG,123,1.16,283.8,1.23,76.0,180.3,0.96,0.32,0.20,0.10,25.0,22.0,2.0,9.0,30,118,96,39,25,12
Smoggy,EDG,123,1.00,188.0,1.00,77.0,126.5,0.71,0.38,0.10,0.04,30.0,11.0,3.0,27.0,19,87,87,47,12,5
nobody,EDG,123,0.95,177.2,0.89,69.0,124.5,0.62,0.29,0.07,0.16,32.0,20.0,2.0,10.0,20,76,85,36,9,20
Haodong,EDG,123,0.93,168.8,0.86,73.0,116.4,0.60,0.25,0.08,0.10,26.0,44.0,4.0,9.0,19,74,86,31,10,12
CHICHOO,EDG,123,0.92,177.7,0.89,69.0,124.9,0.64,0.25,0.08,0.06,29.0,,0.0,21.0,23,79,89,31,10,7
",1921
"March 18, 2024",Karmine Corp,Paper Rex,2,Round 3,312802,KC,PRX,"Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
N4RRATE,KC,89,1.27,249.0,1.31,67.0,171.0,0.87,0.37,0.11,0.11,29.0,33.0,3.0,9.0,27,77,59,33,10,10
sh1n,KC,89,1.02,189.0,1.07,82.0,117.4,0.70,0.30,0.04,0.04,31.0,9.0,2.0,23.0,21,62,58,27,4,4
MAGNUM,KC,89,0.97,191.3,0.94,69.0,134.7,0.66,0.21,0.07,0.09,24.0,,0.0,6.0,18,59,63,19,6,8
marteen,KC,89,0.94,187.3,0.86,67.0,119.2,0.63,0.16,0.16,0.20,23.0,,0.0,4.0,20,56,65,14,14,18
tomaszy,KC,89,0.76,131.0,0.60,62.0,90.8,0.44,0.28,0.07,0.10,28.0,38.0,3.0,8.0,15,39,65,25,6,9
","Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
f0rsakeN,PRX,131,1.12,241.2,1.15,66.0,145.6,0.82,0.37,0.13,0.11,29.0,27.0,3.0,11.0,25,108,94,49,17,15
something,PRX,131,1.08,221.2,1.15,74.0,141.7,0.76,0.19,0.15,0.11,26.0,19.0,3.0,16.0,24,99,86,25,20,14
d4v41,PRX,131,0.95,175.5,0.88,72.0,119.8,0.62,0.38,0.05,0.05,29.0,14.0,3.0,21.0,17,81,92,50,6,7
mindfreak,PRX,131,0.87,171.0,0.94,69.0,114.3,0.64,0.18,0.03,0.13,39.0,,0.0,14.0,21,84,89,23,4,17
Monyet,PRX,131,0.86,181.8,0.81,69.0,116.5,0.63,0.37,0.08,0.16,24.0,33.0,5.0,15.0,18,83,102,48,11,21
",1921
"March 21, 2024",Gen.G,Paper Rex,1,Upper Semifinals,312777,GEN,PRX,"Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
Karon,GEN,121,1.15,222.8,1.16,73.0,155.7,0.79,0.27,0.09,0.07,33.0,27.0,6.0,22.0,20,96,83,33,11,8
Meteor,GEN,121,1.10,238.3,1.14,73.0,154.9,0.83,0.17,0.12,0.12,31.0,17.0,1.0,6.0,22,100,88,21,14,14
t3xture,GEN,121,1.09,233.8,1.18,67.0,145.2,0.87,0.13,0.18,0.11,26.0,27.0,3.0,11.0,22,105,89,16,22,13
Munchkin,GEN,121,1.07,185.2,1.01,72.0,119.6,0.64,0.44,0.09,0.07,21.0,5.0,1.0,20.0,17,78,77,53,11,9
Lakia,GEN,121,0.79,132.0,0.62,65.0,87.1,0.44,0.23,0.07,0.08,28.0,17.0,1.0,6.0,16,53,85,28,8,10
","Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
f0rsakeN,PRX,199,1.08,231.7,1.10,70.0,145.0,0.79,0.36,0.13,0.11,29.0,29.0,4.0,14.0,25,157,143,72,26,22
something,PRX,199,1.06,213.8,1.14,72.0,134.9,0.75,0.16,0.15,0.11,24.0,17.0,4.0,23.0,24,149,131,32,30,21
d4v41,PRX,199,0.99,179.8,0.91,69.0,122.8,0.62,0.39,0.04,0.05,30.0,15.0,4.0,27.0,17,124,136,77,8,9
Monyet,PRX,199,0.89,191.8,0.86,66.0,127.8,0.66,0.32,0.11,0.18,25.0,26.0,6.0,23.0,20,132,154,64,21,36
mindfreak,PRX,199,0.86,167.3,0.90,70.0,110.4,0.61,0.21,0.03,0.11,38.0,,0.0,27.0,21,122,136,41,6,21
",1921
"March 21, 2024",Sentinels,LOUD,1,Upper Semifinals,312776,SEN,LOUD,"Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
TenZ,SEN,109,1.16,220.4,1.28,78.0,137.9,0.83,0.51,0.10,0.08,22.0,,0.0,8.0,22,91,71,56,11,9
zekken,SEN,109,1.15,275.2,1.31,74.0,173.4,0.96,0.18,0.23,0.17,21.0,22.0,2.0,9.0,27,105,80,20,25,19
johnqt,SEN,109,1.07,187.4,1.02,76.0,131.1,0.60,0.30,0.07,0.06,20.0,14.0,3.0,21.0,21,65,64,33,8,6
Zellsis,SEN,109,0.95,183.4,1.03,72.0,121.4,0.67,0.30,0.06,0.09,18.0,27.0,3.0,11.0,21,73,71,33,6,10
Sacy,SEN,109,0.91,148.4,0.72,72.0,97.9,0.47,0.54,0.02,0.12,25.0,11.0,1.0,9.0,17,51,71,59,2,13
","Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
Less,LOUD,136,1.34,224.0,1.56,85.0,163.5,0.84,0.30,0.10,0.05,28.0,5.0,1.0,19.0,27,114,73,41,14,7
tuyz,LOUD,136,1.20,184.7,1.36,76.0,127.2,0.73,0.36,0.04,0.04,31.0,12.0,2.0,17.0,22,99,73,49,6,6
saadhak,LOUD,136,1.14,205.9,1.17,77.0,135.0,0.71,0.40,0.09,0.10,16.0,33.0,3.0,9.0,19,96,82,54,12,14
cauanzin,LOUD,136,1.07,211.3,1.12,79.0,138.3,0.76,0.33,0.10,0.11,25.0,13.0,1.0,8.0,19,104,93,45,14,15
Quick,LOUD,136,1.02,235.6,1.13,64.0,146.3,0.82,0.09,0.18,0.18,35.0,14.0,1.0,7.0,24,112,99,12,25,24
",1921
"March 22, 2024",Gen.G,Sentinels,1,Upper Final,312778,GEN,SEN,"Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
Karon,GEN,164,1.12,220.8,1.11,74.0,152.0,0.77,0.34,0.11,0.05,31.0,24.0,6.0,25.0,20,126,114,56,18,9
t3xture,GEN,164,1.12,232.9,1.18,71.0,150.2,0.85,0.20,0.18,0.10,25.0,25.0,3.0,12.0,22,140,119,32,30,16
Munchkin,GEN,164,1.10,196.5,1.13,76.0,128.0,0.70,0.41,0.07,0.07,20.0,7.0,2.0,27.0,18,114,101,67,12,12
Meteor,GEN,164,1.07,230.3,1.16,74.0,152.6,0.83,0.15,0.13,0.10,31.0,10.0,1.0,10.0,22,136,117,24,21,16
Lakia,GEN,164,0.84,146.6,0.75,67.0,97.5,0.52,0.26,0.07,0.10,26.0,33.0,4.0,12.0,17,85,114,42,12,17
","Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
TenZ,SEN,178,1.12,211.8,1.12,75.0,132.4,0.78,0.54,0.07,0.07,25.0,23.0,3.0,13.0,22,138,123,97,13,13
johnqt,SEN,178,1.10,204.1,1.12,76.0,140.5,0.69,0.27,0.09,0.05,23.0,25.0,10.0,40.0,21,122,109,48,16,9
zekken,SEN,178,1.06,251.4,1.13,72.0,159.2,0.85,0.20,0.22,0.18,21.0,25.0,3.0,12.0,27,152,134,36,40,32
Zellsis,SEN,178,1.00,194.8,0.98,71.0,125.4,0.67,0.35,0.05,0.10,17.0,21.0,4.0,19.0,21,119,122,62,9,17
Sacy,SEN,178,0.87,152.8,0.72,69.0,101.2,0.49,0.42,0.04,0.12,23.0,18.0,3.0,17.0,18,88,122,74,7,22
",1921
"March 22, 2024",Paper Rex,LOUD,1,Lower Round 1,312780,PRX,LOUD,"Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
f0rsakeN,PRX,242,1.05,226.1,1.06,70.0,144.7,0.77,0.33,0.13,0.12,30.0,21.0,4.0,19.0,25,187,176,80,31,28
d4v41,PRX,242,1.04,190.3,0.99,69.0,127.6,0.67,0.37,0.04,0.04,31.0,15.0,6.0,40.0,25,163,165,90,9,10
something,PRX,242,1.03,211.2,1.07,71.0,135.0,0.74,0.19,0.14,0.12,24.0,14.0,4.0,28.0,24,179,168,46,35,28
Monyet,PRX,242,0.89,195.1,0.86,68.0,130.5,0.67,0.34,0.10,0.18,27.0,24.0,6.0,25.0,20,163,190,83,25,43
mindfreak,PRX,242,0.82,157.6,0.79,68.0,105.3,0.56,0.24,0.03,0.11,37.0,,0.0,30.0,21,135,170,58,7,27
","Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
Less,LOUD,205,1.23,210.2,1.35,82.0,154.1,0.77,0.33,0.10,0.07,29.0,3.0,1.0,31.0,27,158,117,67,21,14
tuyz,LOUD,205,1.18,186.8,1.33,74.0,127.9,0.73,0.35,0.04,0.04,30.0,11.0,3.0,28.0,22,150,113,71,9,9
saadhak,LOUD,205,1.09,201.8,1.11,75.0,134.9,0.70,0.38,0.10,0.12,18.0,22.0,4.0,18.0,21,143,129,77,20,25
cauanzin,LOUD,205,1.06,217.0,1.08,76.0,140.4,0.76,0.30,0.09,0.10,25.0,10.0,1.0,10.0,19,155,143,61,18,20
Quick,LOUD,205,1.02,234.6,1.13,68.0,149.0,0.84,0.14,0.19,0.15,32.0,10.0,1.0,10.0,27,172,152,28,39,31
",1921
"March 23, 2024",Sentinels,Paper Rex,1,Lower Final,312781,SEN,PRX,"Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
johnqt,SEN,232,1.11,206.8,1.19,78.0,137.7,0.72,0.26,0.09,0.04,24.0,18.0,10.0,55.0,21,167,140,60,20,10
zekken,SEN,232,1.04,240.3,1.10,72.0,154.2,0.83,0.21,0.22,0.19,20.0,29.0,4.0,14.0,27,192,174,48,51,45
Zellsis,SEN,232,1.01,195.4,0.96,69.0,126.0,0.66,0.35,0.06,0.09,17.0,16.0,4.0,25.0,21,153,159,82,13,20
TenZ,SEN,232,0.97,185.4,0.94,75.0,118.8,0.68,0.55,0.07,0.09,25.0,18.0,3.0,17.0,22,158,168,127,16,20
Sacy,SEN,232,0.90,166.5,0.76,69.0,109.9,0.53,0.42,0.04,0.12,25.0,18.0,4.0,22.0,18,124,163,97,10,27
","Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
something,PRX,287,1.09,220.1,1.14,72.0,140.1,0.78,0.21,0.15,0.10,25.0,16.0,6.0,37.0,24,223,195,59,42,30
f0rsakeN,PRX,287,1.06,226.0,1.07,70.0,144.4,0.77,0.34,0.14,0.10,29.0,21.0,4.0,19.0,25,221,207,98,40,30
d4v41,PRX,287,1.02,189.0,0.97,70.0,126.1,0.67,0.39,0.04,0.04,30.0,15.0,7.0,47.0,25,193,199,112,12,11
Monyet,PRX,287,0.90,192.6,0.86,68.0,128.7,0.66,0.35,0.11,0.17,26.0,22.0,6.0,27.0,20,190,222,100,32,50
mindfreak,PRX,287,0.84,161.7,0.83,68.0,107.9,0.58,0.23,0.03,0.11,37.0,3.0,1.0,35.0,21,166,199,67,10,31
",1921
"March 24, 2024",Gen.G,Sentinels,2,Grand Final,312779,GEN,SEN,"Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
Meteor,GEN,218,1.15,245.5,1.26,77.0,163.2,0.88,0.18,0.13,0.11,32.0,14.0,2.0,14.0,22,192,152,39,28,24
Munchkin,GEN,218,1.12,192.0,1.16,74.0,127.7,0.68,0.39,0.07,0.06,22.0,14.0,5.0,35.0,18,149,128,84,16,13
Karon,GEN,218,1.10,210.3,1.08,74.0,144.5,0.75,0.35,0.10,0.06,29.0,20.0,6.0,30.0,20,163,151,77,22,12
t3xture,GEN,218,1.10,228.6,1.14,72.0,147.7,0.83,0.19,0.19,0.11,23.0,18.0,3.0,17.0,22,182,159,41,42,25
Lakia,GEN,218,0.83,142.7,0.73,66.0,94.5,0.50,0.27,0.06,0.10,25.0,31.0,4.0,13.0,17,109,150,59,14,21
","Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
johnqt,SEN,311,1.13,204.8,1.21,78.0,135.3,0.72,0.27,0.09,0.04,24.0,20.0,13.0,66.0,21,223,184,84,27,12
zekken,SEN,311,1.12,258.4,1.22,73.0,165.6,0.90,0.20,0.22,0.20,22.0,22.0,4.0,18.0,32,280,229,61,69,61
TenZ,SEN,311,1.05,203.9,1.04,76.0,129.0,0.74,0.55,0.08,0.07,29.0,20.0,5.0,25.0,25,231,222,172,24,23
Zellsis,SEN,311,1.00,189.0,0.92,70.0,121.4,0.63,0.40,0.06,0.08,17.0,16.0,5.0,32.0,21,195,212,124,19,26
Sacy,SEN,311,0.93,168.1,0.81,71.0,109.1,0.55,0.42,0.05,0.11,24.0,15.0,5.0,33.0,18,171,212,132,15,35
",1921
"February 22, 2024",Team Heretics,Karmine Corp,1,Winner's (A),297403,TH,KC,"Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
Boo,TH,47,1.45,298.0,1.79,74.0,203.2,1.11,0.36,0.11,0.06,40.0,,0.0,4.0,26,52,29,17,5,3
MiniBoo,TH,47,1.32,267.0,1.26,70.0,183.6,0.91,0.23,0.23,0.21,34.0,33.0,2.0,6.0,22,43,34,11,11,10
benjyfishy,TH,47,0.93,188.0,0.94,70.0,125.0,0.68,0.19,0.11,0.11,28.0,40.0,2.0,5.0,16,32,34,9,5,5
paTiTek,TH,47,0.85,138.5,0.67,72.0,87.7,0.47,0.40,0.04,0.06,19.0,33.0,2.0,6.0,12,22,33,19,2,3
RieNs,TH,47,0.72,127.0,0.62,72.0,91.4,0.45,0.28,0.04,0.02,37.0,,0.0,5.0,11,21,34,13,2,1
","Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
N4RRATE,KC,64,1.32,270.7,1.27,77.0,175.6,0.88,0.27,0.09,0.08,25.0,100.0,1.0,1.0,23,56,44,17,6,5
MAGNUM,KC,64,1.19,219.0,1.39,70.0,150.9,0.83,0.19,0.11,0.13,26.0,22.0,2.0,9.0,18,53,38,12,7,8
tomaszy,KC,64,1.08,208.3,1.12,75.0,136.0,0.73,0.28,0.13,0.05,37.0,,0.0,10.0,19,47,42,18,8,3
marteen,KC,64,1.05,199.7,1.02,67.0,127.0,0.67,0.20,0.14,0.13,21.0,,,,16,43,42,13,9,8
sh1n,KC,64,0.90,131.0,0.79,77.0,84.6,0.48,0.34,0.08,0.08,35.0,9.0,1.0,11.0,12,31,39,22,5,5
",1925
"February 22, 2024",FUT Esports,GIANTX,1,Elimination (A),297404,FUT,GX,"Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
AtaKaptan,FUT,47,1.19,196.0,1.03,81.0,136.0,0.68,0.70,0.02,0.09,30.0,25.0,2.0,8.0,19,32,31,33,1,4
cNed,FUT,47,1.01,250.0,1.17,74.0,158.8,0.89,0.30,0.17,0.19,31.0,,0.0,4.0,21,42,36,14,8,9
MrFaliN,FUT,47,0.98,202.5,0.97,70.0,132.9,0.70,0.30,0.13,0.09,23.0,,0.0,7.0,18,33,34,14,6,4
yetujey,FUT,47,0.89,200.5,0.88,77.0,137.7,0.64,0.23,0.09,0.11,20.0,17.0,1.0,6.0,18,30,34,11,4,5
qRaxs,FUT,47,0.88,176.0,0.77,70.0,115.7,0.57,0.57,0.06,0.06,22.0,25.0,1.0,4.0,20,27,35,27,3,3
","Player,Team,Rnd,R,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL Success,CL Attempts,KMax,K,D,A,FK,FD
Cloud,GX,64,1.17,255.0,1.19,69.0,157.3,0.89,0.52,0.09,0.08,29.0,,0.0,5.0,22,57,48,33,6,5
nukkye,GX,64,0.96,187.3,0.89,72.0,124.3,0.64,0.34,0.13,0.09,31.0,,0.0,9.0,17,41,46,22,8,6
Redgar,GX,64,0.89,178.7,0.98,67.0,123.1,0.66,0.20,0.09,0.13,29.0,17.0,2.0,12.0,22,42,43,13,6,8
hoody,GX,64,0.81,149.3,0.74,64.0,100.1,0.50,0.36,0.05,0.17,20.0,17.0,1.0,6.0,15,32,43,23,3,11
Fit1nho,GX,64,0.69,159.7,0.66,64.0,109.6,0.52,0.13,0.09,0.08,21.0,,0.0,4.0,21,33,50,8,6,5
",1925
